seIdx,name,seqArc,slot,se,se_hex,notes
455,SE_006_voc_damage,12,2,1,0x0001,
456,SE_006_voc_dying,12,2,2,0x0002,
457,SE_006_voc_bite,12,2,3,0x0003,
458,SE_006_bite,12,2,4,0x0004,
459,SE_006_splush_SP,12,2,5,0x0005,
460,SE_006_splush,12,2,6,0x0006,
461,SE_006_water_sign,12,2,7,0x0007,
462,SE_006_water_moveS,12,2,8,0x0008,
463,SE_006_water_moveL,12,2,9,0x0009,
464,SE_006_water_swirl,12,2,10,0x000A,
465,SE_006_water_in,12,2,11,0x000B,
466,SE_010_appear,13,2,0,0x0000,
467,SE_010_voc_attack,13,2,1,0x0001,
468,SE_010_voc_damage,13,2,2,0x0002,
469,SE_010_voc_dying,13,2,3,0x0003,
470,SE_010_footstep,13,2,4,0x0004,
471,SE_010_tailattack,13,2,5,0x0005,
472,SE_010_tailattack_hit,13,2,6,0x0006,
473,SE_010_bubbleattack,13,2,7,0x0007,
474,SE_010_bubbleattack_hit,13,2,8,0x0008,
475,SE_010_fireattack,13,2,9,0x0009,
476,SE_010_fireattack_hit,13,2,10,0x000A,
477,SE_010_lazerattack,13,2,12,0x000C,
478,SE_010_spiralattack,13,2,13,0x000D,
479,SE_010_tatoo_kiri,13,2,14,0x000E,
480,SE_010_tatoo_tobashi01,13,2,15,0x000F,
481,SE_010_tatoo_tobashi02,13,2,16,0x0010,
482,SE_010_tosshin_kidou,13,2,17,0x0011,
483,SE_010_tosshin_tobu,13,2,18,0x0012,
484,SE_010_tosshin_idou,13,2,19,0x0013,
485,SE_010_lazerattack_tame,13,2,11,0x000B,
486,SE_011_appear,14,2,0,0x0000,
487,SE_011_voc_damage,14,2,2,0x0002,
488,SE_011_voc_dying,14,2,3,0x0003,
489,SE_011_idle,14,2,4,0x0004,
490,SE_011_move,14,2,5,0x0005,
491,SE_011_foot,14,2,7,0x0007,
492,SE_011_wing,14,2,9,0x0009,
493,SE_011_move_hit,14,2,6,0x0006,
494,SE_011_foot_hit,14,2,8,0x0008,
495,SE_011_wing_hit,14,2,10,0x000A,
496,SE_011_badge_get,14,2,11,0x000B,
497,SE_011_obj_fall,14,2,12,0x000C,
498,SE_011B_sp01,15,2,0,0x0000,
499,SE_011B_obj_catch,15,2,1,0x0001,
500,SE_011B_obj_fall,15,2,2,0x0002,
501,SE_011B_obj_ground,15,2,3,0x0003,
502,SE_012_appear,16,2,0,0x0000,
503,SE_012_voc_damage,16,2,2,0x0002,
504,SE_012_voc_dying,16,2,3,0x0003,
505,SE_012_idlestart,16,2,4,0x0004,
506,SE_012_idleend,16,2,5,0x0005,
507,SE_012_attack00,16,2,6,0x0006,
508,SE_012_attack00hit,16,2,8,0x0008,
509,SE_012_attack01,16,2,9,0x0009,
510,SE_012_attack01hit,16,2,10,0x000A,
511,SE_012_movestart,16,2,11,0x000B,
512,SE_012_moveend,16,2,12,0x000C,
513,SE_012_attack00_01,16,2,7,0x0007,
514,SE_012_tornade_start,16,2,13,0x000D,
515,SE_012_tornade_end,16,2,14,0x000E,
516,SE_013_appear,17,2,0,0x0000,
517,SE_013_voc_attack,17,2,1,0x0001,
518,SE_013_voc_damage,17,2,2,0x0002,
519,SE_013_voc_dying,17,2,3,0x0003,
520,SE_013_needleFX,17,2,4,0x0004,
521,SE_013_needlehit,17,2,5,0x0005,
522,SE_013_bomb_out,17,2,6,0x0006,
523,SE_013_bomb_drop,17,2,7,0x0007,
524,SE_013_bomb_stick,17,2,8,0x0008,
525,SE_013_bomb_targetS,17,2,9,0x0009,
526,SE_013_bomb_targetM,17,2,10,0x000A,
527,SE_013_bomb_targetL,17,2,11,0x000B,
528,SE_013_bomb_timer01,17,2,12,0x000C,
529,SE_013_bomb_timer02,17,2,13,0x000D,
530,SE_013_bomb_expS,17,2,14,0x000E,
